destination_iso_country,Day of date,fl_ranking,fl_wow_change,fl_yoy_change,destination_country,flights_number_7days
PG,"November 15, 2021",1,5.41%,35.82%,Papua New Guinea,546
NR,"November 15, 2021",5,300.00%,33.33%,Nauru,4
MH,"November 15, 2021",8,-50.00%,-87.50%,Marshall Islands (the),1
FM,"November 15, 2021",4,233.33%,-54.55%,Micronesia (Federated States of),10
FJ,"November 15, 2021",2,20.63%,-69.84%,Fiji,76
WS,"November 16, 2021",8,0.00%,-88.89%,Samoa,3
VU,"November 16, 2021",3,41.38%,-49.38%,Vanuatu,41
TO,"November 16, 2021",10,-50.00%,-94.12%,Tonga,1
SB,"November 16, 2021",7,0.00%,-86.36%,Solomon Islands,3
PW,"November 16, 2021",6,50.00%,-85.00%,Palau,3
PG,"November 16, 2021",1,8.54%,37.68%,Papua New Guinea,559
NR,"November 16, 2021",5,300.00%,0.00%,Nauru,4
MH,"November 16, 2021",9,0.00%,-75.00%,Marshall Islands (the),2
FM,"November 16, 2021",4,125.00%,-57.14%,Micronesia (Federated States of),9
FJ,"November 16, 2021",2,33.87%,-68.32%,Fiji,83
WS,"November 17, 2021",6,50.00%,-89.29%,Samoa,3
VU,"November 17, 2021",3,50.00%,-46.84%,Vanuatu,42
TO,"November 17, 2021",10,-50.00%,-94.12%,Tonga,1
SB,"November 17, 2021",5,50.00%,-85.71%,Solomon Islands,3
PW,"November 17, 2021",9,0.00%,-90.00%,Palau,2
PG,"November 17, 2021",1,10.87%,37.26%,Papua New Guinea,571
NR,"November 17, 2021",8,-33.33%,-60.00%,Nauru,2
MH,"November 17, 2021",7,0.00%,-75.00%,Marshall Islands (the),2
FM,"November 17, 2021",4,125.00%,-57.14%,Micronesia (Federated States of),9
FJ,"November 17, 2021",2,37.50%,-67.29%,Fiji,88
WS,"November 18, 2021",5,50.00%,-88.89%,Samoa,3
VU,"November 18, 2021",3,15.15%,-51.28%,Vanuatu,38
TO,"November 18, 2021",10,-50.00%,-94.12%,Tonga,1
SB,"November 18, 2021",9,-33.33%,-90.91%,Solomon Islands,2
PW,"November 18, 2021",8,0.00%,-90.00%,Palau,2
PG,"November 18, 2021",1,10.83%,38.07%,Papua New Guinea,573
NR,"November 18, 2021",7,-33.33%,-77.78%,Nauru,2
MH,"November 18, 2021",6,0.00%,-77.78%,Marshall Islands (the),2
FM,"November 18, 2021",4,16.67%,-69.57%,Micronesia (Federated States of),7
FJ,"November 18, 2021",2,47.62%,-67.60%,Fiji,93
WS,"November 19, 2021",5,50.00%,-88.46%,Samoa,3
VU,"November 19, 2021",3,18.75%,-50.65%,Vanuatu,38
TO,"November 19, 2021",10,-50.00%,-94.12%,Tonga,1
SB,"November 19, 2021",8,-33.33%,-90.48%,Solomon Islands,2
PW,"November 19, 2021",7,0.00%,-90.00%,Palau,2
PG,"November 19, 2021",1,8.59%,35.48%,Papua New Guinea,569
NR,"November 19, 2021",9,-75.00%,-90.00%,Nauru,1
MH,"November 19, 2021",6,0.00%,-77.78%,Marshall Islands (the),2
FM,"November 19, 2021",4,16.67%,-70.83%,Micronesia (Federated States of),7
FJ,"November 19, 2021",2,57.81%,-66.22%,Fiji,101
WS,"November 20, 2021",5,100.00%,-84.62%,Samoa,4
VU,"November 20, 2021",3,5.88%,-53.25%,Vanuatu,36
TO,"November 20, 2021",10,-50.00%,-94.44%,Tonga,1
SB,"November 20, 2021",9,-33.33%,-90.48%,Solomon Islands,2
PW,"November 20, 2021",8,0.00%,-90.00%,Palau,2
PG,"November 20, 2021",1,5.22%,32.39%,Papua New Guinea,564
NR,"November 20, 2021",7,-50.00%,-80.00%,Nauru,2
MH,"November 20, 2021",6,0.00%,-80.00%,Marshall Islands (the),2
FM,"November 20, 2021",4,-14.29%,-76.00%,Micronesia (Federated States of),6
FJ,"November 20, 2021",2,64.62%,-65.26%,Fiji,107
WS,"November 21, 2021",5,100.00%,-85.71%,Samoa,4
VU,"November 21, 2021",3,-2.86%,-55.84%,Vanuatu,34
TO,"November 21, 2021",10,0.00%,-94.44%,Tonga,1
SB,"November 21, 2021",9,-33.33%,-90.00%,Solomon Islands,2
PW,"November 21, 2021",8,0.00%,-90.48%,Palau,2
PG,"November 21, 2021",1,6.51%,35.78%,Papua New Guinea,573
NR,"November 21, 2021",7,-50.00%,-80.00%,Nauru,2
MH,"November 21, 2021",6,0.00%,-77.78%,Marshall Islands (the),2
FM,"November 21, 2021",4,-14.29%,-76.92%,Micronesia (Federated States of),6
FJ,"November 21, 2021",2,57.14%,-65.41%,Fiji,110
WS,"November 22, 2021",4,300.00%,-84.62%,Samoa,4
VU,"November 22, 2021",3,-13.51%,-58.97%,Vanuatu,32
TO,"November 22, 2021",10,0.00%,-94.44%,Tonga,1
SB,"November 22, 2021",8,-33.33%,-90.48%,Solomon Islands,2
PW,"November 22, 2021",9,-66.67%,-95.24%,Palau,1
PG,"November 22, 2021",1,4.40%,40.39%,Papua New Guinea,570
NR,"November 22, 2021",7,-50.00%,-80.00%,Nauru,2
MH,"November 22, 2021",6,200.00%,-66.67%,Marshall Islands (the),3
FM,"November 22, 2021",5,-70.00%,-87.50%,Micronesia (Federated States of),3
FJ,"November 22, 2021",2,50.00%,-64.60%,Fiji,114
WS,"November 23, 2021",8,-33.33%,-92.59%,Samoa,2
VU,"November 23, 2021",3,-26.83%,-61.54%,Vanuatu,30
TO,"November 23, 2021",10,0.00%,-94.12%,Tonga,1
SB,"November 23, 2021",7,-33.33%,-89.47%,Solomon Islands,2
PW,"November 23, 2021",9,-66.67%,-95.24%,Palau,1
PG,"November 23, 2021",1,2.50%,42.18%,Papua New Guinea,573
NR,"November 23, 2021",6,-50.00%,-80.00%,Nauru,2
MH,"November 23, 2021",5,0.00%,-77.78%,Marshall Islands (the),2
FM,"November 23, 2021",4,-66.67%,-87.50%,Micronesia (Federated States of),3
FJ,"November 23, 2021",2,37.35%,-64.38%,Fiji,114
WS,"November 24, 2021",9,-33.33%,-92.31%,Samoa,2
VU,"November 24, 2021",3,-21.43%,-58.75%,Vanuatu,33
TO,"November 24, 2021",10,0.00%,-94.12%,Tonga,1
SB,"November 24, 2021",8,-33.33%,-89.47%,Solomon Islands,2
PW,"November 24, 2021",7,0.00%,-90.48%,Palau,2
PG,"November 24, 2021",1,-0.88%,38.73%,Papua New Guinea,566
NR,"November 24, 2021",5,50.00%,-72.73%,Nauru,3
MH,"November 24, 2021",6,0.00%,-77.78%,Marshall Islands (the),2
FM,"November 24, 2021",4,-66.67%,-87.50%,Micronesia (Federated States of),3
FJ,"November 24, 2021",2,29.55%,-64.49%,Fiji,114
WS,"November 25, 2021",8,-33.33%,-92.59%,Samoa,2
VU,"November 25, 2021",3,-13.16%,-59.26%,Vanuatu,33
TO,"November 25, 2021",10,0.00%,-94.12%,Tonga,1
SB,"November 25, 2021",9,-50.00%,-94.44%,Solomon Islands,1
PW,"November 25, 2021",7,0.00%,-90.48%,Palau,2
PG,"November 25, 2021",1,1.05%,40.53%,Papua New Guinea,579
NR,"November 25, 2021",4,100.00%,-42.86%,Nauru,4
MH,"November 25, 2021",6,0.00%,-75.00%,Marshall Islands (the),2
FM,"November 25, 2021",5,-57.14%,-86.96%,Micronesia (Federated States of),3
FJ,"November 25, 2021",2,22.58%,-64.26%,Fiji,114
WS,"November 26, 2021",9,-33.33%,-92.31%,Samoa,2
VU,"November 26, 2021",3,-15.79%,-60.98%,Vanuatu,32
TV,"November 26, 2021",12,,-66.67%,Tuvalu,1
TO,"November 26, 2021",8,100.00%,-88.24%,Tonga,2
SB,"November 26, 2021",11,-50.00%,-94.12%,Solomon Islands,1
PW,"November 26, 2021",7,0.00%,-90.48%,Palau,2
PG,"November 26, 2021",1,2.11%,48.97%,Papua New Guinea,581
NR,"November 26, 2021",4,300.00%,-33.33%,Nauru,4
MH,"November 26, 2021",6,0.00%,-77.78%,Marshall Islands (the),2
KI,"November 26, 2021",10,,-80.00%,Kiribati,1
FM,"November 26, 2021",5,-57.14%,-85.71%,Micronesia (Federated States of),3
FJ,"November 26, 2021",2,15.84%,-62.97%,Fiji,117
WS,"November 27, 2021",12,-75.00%,-96.00%,Samoa,1
VU,"November 27, 2021",3,-13.89%,-62.65%,Vanuatu,31
TV,"November 27, 2021",11,,-66.67%,Tuvalu,1
TO,"November 27, 2021",8,100.00%,-88.24%,Tonga,2
SB,"November 27, 2021",10,-50.00%,-94.44%,Solomon Islands,1
PW,"November 27, 2021",7,0.00%,-90.48%,Palau,2
PG,"November 27, 2021",1,4.08%,54.47%,Papua New Guinea,587
NR,"November 27, 2021",5,100.00%,-33.33%,Nauru,4
MH,"November 27, 2021",6,0.00%,-77.78%,Marshall Islands (the),2
KI,"November 27, 2021",9,,-80.00%,Kiribati,1
FM,"November 27, 2021",4,-33.33%,-81.82%,Micronesia (Federated States of),4
FJ,"November 27, 2021",2,6.54%,-63.69%,Fiji,114
WS,"November 28, 2021",12,-75.00%,-96.00%,Samoa,1
VU,"November 28, 2021",3,-8.82%,-62.65%,Vanuatu,31
TV,"November 28, 2021",11,,-66.67%,Tuvalu,1
TO,"November 28, 2021",8,100.00%,-88.24%,Tonga,2
SB,"November 28, 2021",10,-50.00%,-94.44%,Solomon Islands,1
PW,"November 28, 2021",7,0.00%,-90.48%,Palau,2
PG,"November 28, 2021",1,1.75%,53.83%,Papua New Guinea,583
NR,"November 28, 2021",5,100.00%,-20.00%,Nauru,4
MH,"November 28, 2021",6,0.00%,-75.00%,Marshall Islands (the),2
KI,"November 28, 2021",9,,-80.00%,Kiribati,1
FM,"November 28, 2021",4,-33.33%,-80.95%,Micronesia (Federated States of),4
FJ,"November 28, 2021",2,4.55%,-63.61%,Fiji,115
WS,"November 29, 2021",12,-75.00%,-96.30%,Samoa,1
VU,"November 29, 2021",3,-3.13%,-62.65%,Vanuatu,31
TV,"November 29, 2021",11,,-75.00%,Tuvalu,1
TO,"November 29, 2021",9,100.00%,-88.24%,Tonga,2
SB,"November 29, 2021",8,0.00%,-88.24%,Solomon Islands,2
PW,"November 29, 2021",7,100.00%,-90.48%,Palau,2
PG,"November 29, 2021",1,3.68%,50.77%,Papua New Guinea,591
NR,"November 29, 2021",5,100.00%,33.33%,Nauru,4
MH,"November 29, 2021",6,-33.33%,-75.00%,Marshall Islands (the),2
KI,"November 29, 2021",10,,-80.00%,Kiribati,1
FM,"November 29, 2021",4,33.33%,-80.95%,Micronesia (Federated States of),4
FJ,"November 29, 2021",2,0.88%,-63.84%,Fiji,115
WS,"November 30, 2021",10,0.00%,-92.31%,Samoa,2
VU,"November 30, 2021",3,6.67%,-61.45%,Vanuatu,32
TV,"November 30, 2021",12,,-75.00%,Tuvalu,1
TO,"November 30, 2021",9,100.00%,-88.24%,Tonga,2
SB,"November 30, 2021",8,0.00%,-88.24%,Solomon Islands,2
PW,"November 30, 2021",7,100.00%,-90.48%,Palau,2
PG,"November 30, 2021",1,4.01%,52.43%,Papua New Guinea,596
NR,"November 30, 2021",4,100.00%,100.00%,Nauru,4
MH,"November 30, 2021",6,0.00%,-71.43%,Marshall Islands (the),2
KI,"November 30, 2021",11,,-75.00%,Kiribati,1
FM,"November 30, 2021",5,0.00%,-85.71%,Micronesia (Federated States of),3
FJ,"November 30, 2021",2,3.51%,-63.01%,Fiji,118
WS,"December 1, 2021",8,0.00%,-92.31%,Samoa,2
VU,"December 1, 2021",3,-6.06%,-62.65%,Vanuatu,31
TV,"December 1, 2021",11,,-75.00%,Tuvalu,1
TO,"December 1, 2021",7,100.00%,-88.24%,Tonga,2
SB,"December 1, 2021",6,0.00%,-88.89%,Solomon Islands,2
PW,"December 1, 2021",10,-50.00%,-95.24%,Palau,1
PG,"December 1, 2021",1,6.01%,50.38%,Papua New Guinea,600
MH,"December 1, 2021",5,50.00%,-50.00%,Marshall Islands (the),3
KI,"December 1, 2021",9,,-75.00%,Kiribati,1
FM,"December 1, 2021",4,33.33%,-80.95%,Micronesia (Federated States of),4
FJ,"December 1, 2021",2,8.77%,-61.49%,Fiji,124
WS,"December 2, 2021",4,250.00%,-73.08%,Samoa,7
VU,"December 2, 2021",3,-12.12%,-65.06%,Vanuatu,29
TV,"December 2, 2021",11,,-80.00%,Tuvalu,1
TO,"December 2, 2021",8,100.00%,-88.24%,Tonga,2
SB,"December 2, 2021",7,100.00%,-88.89%,Solomon Islands,2
PW,"December 2, 2021",10,-50.00%,-95.24%,Palau,1
PG,"December 2, 2021",1,3.80%,49.13%,Papua New Guinea,601
MH,"December 2, 2021",6,50.00%,-50.00%,Marshall Islands (the),3
KI,"December 2, 2021",9,,-75.00%,Kiribati,1
FM,"December 2, 2021",5,66.67%,-76.19%,Micronesia (Federated States of),5
FJ,"December 2, 2021",2,14.04%,-60.73%,Fiji,130
WS,"December 3, 2021",4,250.00%,-75.00%,Samoa,7
VU,"December 3, 2021",3,-9.38%,-64.63%,Vanuatu,29
TO,"December 3, 2021",9,-50.00%,-94.12%,Tonga,1
SB,"December 3, 2021",7,100.00%,-88.89%,Solomon Islands,2
PW,"December 3, 2021",8,-50.00%,-95.00%,Palau,1
PG,"December 3, 2021",1,2.07%,46.78%,Papua New Guinea,593
MH,"December 3, 2021",6,50.00%,-40.00%,Marshall Islands (the),3
FM,"December 3, 2021",5,66.67%,-78.26%,Micronesia (Federated States of),5
FJ,"December 3, 2021",2,16.24%,-59.76%,Fiji,136
WS,"December 4, 2021",4,600.00%,-75.86%,Samoa,7
VU,"December 4, 2021",3,6.45%,-59.26%,Vanuatu,33
TO,"December 4, 2021",9,-50.00%,-94.44%,Tonga,1
SB,"December 4, 2021",8,100.00%,-88.89%,Solomon Islands,2
PW,"December 4, 2021",7,0.00%,-90.00%,Palau,2
PG,"December 4, 2021",1,1.02%,44.28%,Papua New Guinea,593
MH,"December 4, 2021",6,50.00%,-40.00%,Marshall Islands (the),3
FM,"December 4, 2021",5,0.00%,-80.95%,Micronesia (Federated States of),4
FJ,"December 4, 2021",2,25.44%,-58.79%,Fiji,143
WS,"December 5, 2021",4,600.00%,-75.86%,Samoa,7
VU,"December 5, 2021",3,9.68%,-57.50%,Vanuatu,34
TO,"December 5, 2021",9,-50.00%,-94.44%,Tonga,1
SB,"December 5, 2021",8,100.00%,-88.89%,Solomon Islands,2
PW,"December 5, 2021",7,0.00%,-90.00%,Palau,2
PG,"December 5, 2021",1,2.74%,45.74%,Papua New Guinea,599
MH,"December 5, 2021",6,50.00%,-40.00%,Marshall Islands (the),3
FM,"December 5, 2021",5,0.00%,-80.95%,Micronesia (Federated States of),4
FJ,"December 5, 2021",2,28.70%,-57.83%,Fiji,148
WS,"December 6, 2021",4,600.00%,-75.00%,Samoa,7
VU,"December 6, 2021",3,22.58%,-53.09%,Vanuatu,38
TO,"December 6, 2021",9,0.00%,-88.89%,Tonga,2
SB,"December 6, 2021",10,-50.00%,-94.74%,Solomon Islands,1
PW,"December 6, 2021",7,50.00%,-85.00%,Palau,3
PG,"December 6, 2021",1,2.37%,49.01%,Papua New Guinea,605
NR,"December 6, 2021",8,-50.00%,100.00%,Nauru,2
MH,"December 6, 2021",6,50.00%,-50.00%,Marshall Islands (the),3
FM,"December 6, 2021",5,0.00%,-78.95%,Micronesia (Federated States of),4
FJ,"December 6, 2021",2,33.04%,-56.53%,Fiji,153
WS,"December 7, 2021",4,250.00%,-76.67%,Samoa,7
VU,"December 7, 2021",3,25.00%,-51.22%,Vanuatu,40
TO,"December 7, 2021",10,-50.00%,-94.74%,Tonga,1
SB,"December 7, 2021",9,-50.00%,-94.74%,Solomon Islands,1
PW,"December 7, 2021",7,50.00%,-85.00%,Palau,3
PG,"December 7, 2021",1,0.67%,46.70%,Papua New Guinea,600
NR,"December 7, 2021",8,-50.00%,100.00%,Nauru,2
MH,"December 7, 2021",6,50.00%,-50.00%,Marshall Islands (the),3
FM,"December 7, 2021",5,100.00%,-60.00%,Micronesia (Federated States of),6
FJ,"December 7, 2021",2,37.29%,-54.62%,Fiji,162
WS,"December 8, 2021",4,250.00%,-78.13%,Samoa,7
VU,"December 8, 2021",3,25.81%,-51.85%,Vanuatu,39
TO,"December 8, 2021",10,-50.00%,-94.74%,Tonga,1
SB,"December 8, 2021",9,-50.00%,-94.44%,Solomon Islands,1
PW,"December 8, 2021",6,300.00%,-80.00%,Palau,4
PG,"December 8, 2021",1,-0.83%,48.38%,Papua New Guinea,595
NR,"December 8, 2021",7,0.00%,0.00%,Nauru,3
MH,"December 8, 2021",8,-33.33%,-66.67%,Marshall Islands (the),2
FM,"December 8, 2021",5,50.00%,-53.85%,Micronesia (Federated States of),6
FJ,"December 8, 2021",2,31.45%,-54.60%,Fiji,163
WS,"December 9, 2021",9,-71.43%,-93.55%,Samoa,2
VU,"December 9, 2021",3,41.38%,-49.38%,Vanuatu,41
TV,"December 9, 2021",11,0.00%,-66.67%,Tuvalu,1
TO,"December 9, 2021",10,-50.00%,-95.00%,Tonga,1
SB,"December 9, 2021",8,0.00%,-88.89%,Solomon Islands,2
PW,"December 9, 2021",6,300.00%,-80.00%,Palau,4
PG,"December 9, 2021",1,-1.33%,51.66%,Papua New Guinea,593
NR,"December 9, 2021",5,100.00%,-20.00%,Nauru,4
MH,"December 9, 2021",7,-33.33%,-75.00%,Marshall Islands (the),2
FM,"December 9, 2021",4,0.00%,-50.00%,Micronesia (Federated States of),5
FJ,"December 9, 2021",2,31.54%,-52.23%,Fiji,171
WS,"December 10, 2021",7,-57.14%,-90.91%,Samoa,3
VU,"December 10, 2021",3,55.17%,-44.44%,Vanuatu,45
TV,"December 10, 2021",10,,-33.33%,Tuvalu,2
TO,"December 10, 2021",11,0.00%,-95.00%,Tonga,1
SB,"December 10, 2021",9,0.00%,-89.47%,Solomon Islands,2
PW,"December 10, 2021",5,300.00%,-80.95%,Palau,4
PG,"December 10, 2021",1,2.36%,50.25%,Papua New Guinea,607
NR,"December 10, 2021",6,50.00%,-50.00%,Nauru,3
MH,"December 10, 2021",8,-33.33%,-75.00%,Marshall Islands (the),2
FM,"December 10, 2021",4,0.00%,-44.44%,Micronesia (Federated States of),5
FJ,"December 10, 2021",2,25.74%,-52.10%,Fiji,171
WS,"December 11, 2021",10,-71.43%,-93.94%,Samoa,2
VU,"December 11, 2021",3,36.36%,-44.44%,Vanuatu,45
TV,"December 11, 2021",9,,0.00%,Tuvalu,2
TO,"December 11, 2021",11,0.00%,-95.00%,Tonga,1
SB,"December 11, 2021",7,50.00%,-83.33%,Solomon Islands,3
PW,"December 11, 2021",5,100.00%,-80.95%,Palau,4
PG,"December 11, 2021",1,3.04%,53.52%,Papua New Guinea,611
NR,"December 11, 2021",6,200.00%,-50.00%,Nauru,3
MH,"December 11, 2021",8,-33.33%,-75.00%,Marshall Islands (the),2
FM,"December 11, 2021",4,25.00%,-44.44%,Micronesia (Federated States of),5
FJ,"December 11, 2021",2,19.58%,-51.83%,Fiji,171
WS,"December 12, 2021",10,-71.43%,-94.12%,Samoa,2
VU,"December 12, 2021",3,32.35%,-45.12%,Vanuatu,45
TV,"December 12, 2021",9,,0.00%,Tuvalu,2
TO,"December 12, 2021",11,0.00%,-95.00%,Tonga,1
SB,"December 12, 2021",8,50.00%,-83.33%,Solomon Islands,3
PW,"December 12, 2021",5,100.00%,-80.95%,Palau,4
PG,"December 12, 2021",1,1.00%,53.55%,Papua New Guinea,605
NR,"December 12, 2021",7,200.00%,-57.14%,Nauru,3
MH,"December 12, 2021",6,0.00%,-66.67%,Marshall Islands (the),3
FM,"December 12, 2021",4,25.00%,-44.44%,Micronesia (Federated States of),5
FJ,"December 12, 2021",2,20.27%,-49.14%,Fiji,178
WS,"December 13, 2021",10,-71.43%,-94.29%,Samoa,2
VU,"December 13, 2021",3,7.89%,-48.75%,Vanuatu,41
TV,"December 13, 2021",9,,0.00%,Tuvalu,2
TO,"December 13, 2021",11,-50.00%,-95.24%,Tonga,1
SB,"December 13, 2021",7,200.00%,-83.33%,Solomon Islands,3
PW,"December 13, 2021",6,0.00%,-85.71%,Palau,3
PG,"December 13, 2021",1,-0.33%,51.51%,Papua New Guinea,603
NR,"December 13, 2021",8,0.00%,-75.00%,Nauru,2
MH,"December 13, 2021",5,33.33%,-50.00%,Marshall Islands (the),4
FM,"December 13, 2021",4,25.00%,-44.44%,Micronesia (Federated States of),5
FJ,"December 13, 2021",2,18.30%,-48.29%,Fiji,181
WS,"December 14, 2021",9,-57.14%,-91.18%,Samoa,3
VU,"December 14, 2021",3,0.00%,-50.62%,Vanuatu,40
TV,"December 14, 2021",10,,0.00%,Tuvalu,2
TO,"December 14, 2021",11,0.00%,-95.45%,Tonga,1
SB,"December 14, 2021",4,400.00%,-73.68%,Solomon Islands,5
PW,"December 14, 2021",8,0.00%,-85.71%,Palau,3
PG,"December 14, 2021",1,0.17%,48.03%,Papua New Guinea,601
NR,"December 14, 2021",7,50.00%,-66.67%,Nauru,3
MH,"December 14, 2021",6,33.33%,-55.56%,Marshall Islands (the),4
FM,"December 14, 2021",5,-33.33%,-55.56%,Micronesia (Federated States of),4
FJ,"December 14, 2021",2,11.11%,-49.72%,Fiji,180
WS,"December 15, 2021",9,-57.14%,-91.18%,Samoa,3
VU,"December 15, 2021",3,5.13%,-50.60%,Vanuatu,41
TV,"December 15, 2021",10,,0.00%,Tuvalu,2
TO,"December 15, 2021",11,0.00%,-95.45%,Tonga,1
SB,"December 15, 2021",5,400.00%,-75.00%,Solomon Islands,5
PW,"December 15, 2021",8,-25.00%,-85.71%,Palau,3
PG,"December 15, 2021",1,1.51%,48.40%,Papua New Guinea,604
NR,"December 15, 2021",7,0.00%,-57.14%,Nauru,3
MH,"December 15, 2021",4,150.00%,-44.44%,Marshall Islands (the),5
FM,"December 15, 2021",6,-50.00%,-62.50%,Micronesia (Federated States of),3
FJ,"December 15, 2021",2,14.11%,-46.40%,Fiji,186
WS,"December 16, 2021",8,50.00%,-91.67%,Samoa,3
VU,"December 16, 2021",3,2.44%,-49.40%,Vanuatu,42
TV,"December 16, 2021",11,0.00%,-50.00%,Tuvalu,1
TO,"December 16, 2021",10,0.00%,-95.65%,Tonga,1
SB,"December 16, 2021",6,100.00%,-80.00%,Solomon Islands,4
PW,"December 16, 2021",5,0.00%,-81.82%,Palau,4
PG,"December 16, 2021",1,1.69%,42.55%,Papua New Guinea,603
NR,"December 16, 2021",9,-50.00%,-60.00%,Nauru,2
MH,"December 16, 2021",4,150.00%,-28.57%,Marshall Islands (the),5
FM,"December 16, 2021",7,-40.00%,-62.50%,Micronesia (Federated States of),3
FJ,"December 16, 2021",2,6.43%,-48.00%,Fiji,182
WS,"December 17, 2021",9,-33.33%,-94.12%,Samoa,2
VU,"December 17, 2021",3,-6.67%,-48.78%,Vanuatu,42
TO,"December 17, 2021",10,0.00%,-95.65%,Tonga,1
SB,"December 17, 2021",6,100.00%,-80.95%,Solomon Islands,4
PW,"December 17, 2021",5,0.00%,-81.82%,Palau,4
PG,"December 17, 2021",1,-1.32%,41.27%,Papua New Guinea,599
NR,"December 17, 2021",8,-33.33%,-60.00%,Nauru,2
MH,"December 17, 2021",4,150.00%,-37.50%,Marshall Islands (the),5
FM,"December 17, 2021",7,-40.00%,-50.00%,Micronesia (Federated States of),3
FJ,"December 17, 2021",2,11.11%,-46.48%,Fiji,190
WS,"December 18, 2021",9,50.00%,-91.18%,Samoa,3
VU,"December 18, 2021",3,-8.89%,-50.00%,Vanuatu,41
TO,"December 18, 2021",10,0.00%,-95.45%,Tonga,1
SB,"December 18, 2021",5,33.33%,-80.95%,Solomon Islands,4
PW,"December 18, 2021",8,-25.00%,-86.36%,Palau,3
PG,"December 18, 2021",1,-3.27%,37.12%,Papua New Guinea,591
NR,"December 18, 2021",7,0.00%,-50.00%,Nauru,3
MH,"December 18, 2021",4,150.00%,-28.57%,Marshall Islands (the),5
FM,"December 18, 2021",6,-40.00%,-57.14%,Micronesia (Federated States of),3
FJ,"December 18, 2021",2,18.13%,-43.89%,Fiji,202
WS,"December 19, 2021",9,50.00%,-90.91%,Samoa,3
VU,"December 19, 2021",3,-6.67%,-48.15%,Vanuatu,42
TO,"December 19, 2021",10,0.00%,-95.65%,Tonga,1
SB,"December 19, 2021",5,33.33%,-80.95%,Solomon Islands,4
PW,"December 19, 2021",8,-25.00%,-86.36%,Palau,3
PG,"December 19, 2021",1,-1.16%,38.75%,Papua New Guinea,598
NR,"December 19, 2021",7,0.00%,-40.00%,Nauru,3
MH,"December 19, 2021",4,33.33%,-42.86%,Marshall Islands (the),4
FM,"December 19, 2021",6,-40.00%,-57.14%,Micronesia (Federated States of),3
FJ,"December 19, 2021",2,12.92%,-45.68%,Fiji,201
WS,"December 20, 2021",9,50.00%,-90.91%,Samoa,3
VU,"December 20, 2021",3,9.76%,-45.12%,Vanuatu,45
SB,"December 20, 2021",5,33.33%,-80.95%,Solomon Islands,4
PW,"December 20, 2021",8,0.00%,-86.96%,Palau,3
PG,"December 20, 2021",1,-1.33%,35.23%,Papua New Guinea,595
NR,"December 20, 2021",4,100.00%,33.33%,Nauru,4
MH,"December 20, 2021",7,-25.00%,-57.14%,Marshall Islands (the),3
FM,"December 20, 2021",6,-40.00%,-57.14%,Micronesia (Federated States of),3
FJ,"December 20, 2021",2,11.60%,-46.70%,Fiji,202
WS,"December 21, 2021",9,-66.67%,-97.14%,Samoa,1
VU,"December 21, 2021",3,22.50%,-39.51%,Vanuatu,49
SB,"December 21, 2021",8,-60.00%,-90.00%,Solomon Islands,2
PW,"December 21, 2021",7,0.00%,-86.96%,Palau,3
PG,"December 21, 2021",1,1.16%,35.71%,Papua New Guinea,608
NR,"December 21, 2021",4,33.33%,100.00%,Nauru,4
MH,"December 21, 2021",6,-25.00%,-50.00%,Marshall Islands (the),3
FM,"December 21, 2021",5,-25.00%,-57.14%,Micronesia (Federated States of),3
FJ,"December 21, 2021",2,16.67%,-44.15%,Fiji,210
WS,"December 22, 2021",9,-33.33%,-94.44%,Samoa,2
VU,"December 22, 2021",3,17.07%,-38.46%,Vanuatu,48
SB,"December 22, 2021",5,-20.00%,-78.95%,Solomon Islands,4
PW,"December 22, 2021",8,-33.33%,-91.30%,Palau,2
PG,"December 22, 2021",1,1.32%,33.92%,Papua New Guinea,612
NR,"December 22, 2021",4,33.33%,33.33%,Nauru,4
MH,"December 22, 2021",7,-60.00%,-71.43%,Marshall Islands (the),2
FM,"December 22, 2021",6,0.00%,-66.67%,Micronesia (Federated States of),3
FJ,"December 22, 2021",2,16.13%,-44.33%,Fiji,216
WS,"December 23, 2021",9,-33.33%,-95.00%,Samoa,2
VU,"December 23, 2021",3,16.67%,-39.51%,Vanuatu,49
SB,"December 23, 2021",5,0.00%,-80.00%,Solomon Islands,4
PW,"December 23, 2021",7,-25.00%,-86.36%,Palau,3
PG,"December 23, 2021",1,3.48%,36.54%,Papua New Guinea,624
NR,"December 23, 2021",4,200.00%,100.00%,Nauru,6
MH,"December 23, 2021",8,-60.00%,-71.43%,Marshall Islands (the),2
FM,"December 23, 2021",6,0.00%,-72.73%,Micronesia (Federated States of),3
FJ,"December 23, 2021",2,22.53%,-42.82%,Fiji,223
WS,"December 24, 2021",9,0.00%,-95.12%,Samoa,2
VU,"December 24, 2021",3,19.05%,-40.48%,Vanuatu,50
SB,"December 24, 2021",5,0.00%,-78.95%,Solomon Islands,4
PW,"December 24, 2021",7,-25.00%,-86.36%,Palau,3
PG,"December 24, 2021",1,4.34%,37.67%,Papua New Guinea,625
NR,"December 24, 2021",4,200.00%,200.00%,Nauru,6
MH,"December 24, 2021",8,-60.00%,-66.67%,Marshall Islands (the),2
FM,"December 24, 2021",6,0.00%,-75.00%,Micronesia (Federated States of),3
FJ,"December 24, 2021",2,16.84%,-42.78%,Fiji,222
WS,"December 25, 2021",9,-33.33%,-95.00%,Samoa,2
VU,"December 25, 2021",3,14.63%,-43.37%,Vanuatu,47
