,Date,Country,Seats_arrivals_intl,Number_of_flights_intl
269,2019-09-27,Papua New Guinea,1232,5
270,2019-09-28,Papua New Guinea,1608,9
271,2019-09-29,Papua New Guinea,726,3
272,2019-09-30,Papua New Guinea,1634,8
273,2019-10-01,Papua New Guinea,993,4
274,2019-10-02,Papua New Guinea,1149,6
275,2019-10-03,Papua New Guinea,1398,6
276,2019-10-04,Papua New Guinea,1288,5
277,2019-10-05,Papua New Guinea,1747,10
278,2019-10-06,Papua New Guinea,782,3
279,2019-10-07,Papua New Guinea,1648,7
280,2019-10-08,Papua New Guinea,993,4
281,2019-10-09,Papua New Guinea,1233,6
282,2019-10-10,Papua New Guinea,1327,6
283,2019-10-11,Papua New Guinea,1245,5
284,2019-10-12,Papua New Guinea,1360,8
285,2019-10-13,Papua New Guinea,799,4
286,2019-10-14,Papua New Guinea,1615,8
287,2019-10-15,Papua New Guinea,993,4
288,2019-10-16,Papua New Guinea,1177,6
289,2019-10-17,Papua New Guinea,1291,7
290,2019-10-18,Papua New Guinea,1288,5
291,2019-10-19,Papua New Guinea,1532,9
292,2019-10-20,Papua New Guinea,754,3
293,2019-10-21,Papua New Guinea,1634,8
294,2019-10-22,Papua New Guinea,993,4
295,2019-10-23,Papua New Guinea,1255,7
296,2019-10-24,Papua New Guinea,1327,6
297,2019-10-25,Papua New Guinea,1232,5
298,2019-10-26,Papua New Guinea,1431,8
299,2019-10-27,Papua New Guinea,913,4
300,2019-10-28,Papua New Guinea,1676,9
301,2019-10-29,Papua New Guinea,1041,5
302,2019-10-30,Papua New Guinea,1370,7
303,2019-10-31,Papua New Guinea,1268,6
304,2019-11-01,Papua New Guinea,969,4
305,2019-11-02,Papua New Guinea,1454,8
306,2019-11-03,Papua New Guinea,1041,5
307,2019-11-04,Papua New Guinea,1732,8
308,2019-11-05,Papua New Guinea,1197,7
309,2019-11-06,Papua New Guinea,1370,7
310,2019-11-07,Papua New Guinea,1615,6
311,2019-11-08,Papua New Guinea,985,4
312,2019-11-09,Papua New Guinea,1793,9
313,2019-11-10,Papua New Guinea,696,4
314,2019-11-11,Papua New Guinea,1843,9
315,2019-11-12,Papua New Guinea,1283,7
316,2019-11-13,Papua New Guinea,1370,7
317,2019-11-14,Papua New Guinea,1392,7
318,2019-11-15,Papua New Guinea,1172,4
319,2019-11-16,Papua New Guinea,1475,8
320,2019-11-17,Papua New Guinea,1014,5
321,2019-11-18,Papua New Guinea,1590,8
322,2019-11-19,Papua New Guinea,1211,5
323,2019-11-20,Papua New Guinea,1298,7
324,2019-11-21,Papua New Guinea,1398,6
325,2019-11-22,Papua New Guinea,1267,5
326,2019-11-23,Papua New Guinea,1475,8
327,2019-11-24,Papua New Guinea,986,5
328,2019-11-25,Papua New Guinea,1633,8
329,2019-11-26,Papua New Guinea,1181,4
330,2019-11-27,Papua New Guinea,1298,7
331,2019-11-28,Papua New Guinea,1438,8
332,2019-11-29,Papua New Guinea,1144,4
333,2019-11-30,Papua New Guinea,1287,8
334,2019-12-01,Papua New Guinea,986,5
335,2019-12-02,Papua New Guinea,1545,9
336,2019-12-03,Papua New Guinea,1161,4
337,2019-12-04,Papua New Guinea,1242,7
338,2019-12-05,Papua New Guinea,1370,6
339,2019-12-06,Papua New Guinea,1144,4
340,2019-12-07,Papua New Guinea,1523,8
341,2019-12-08,Papua New Guinea,913,5
342,2019-12-09,Papua New Guinea,1631,8
343,2019-12-10,Papua New Guinea,965,4
344,2019-12-11,Papua New Guinea,1298,7
345,2019-12-12,Papua New Guinea,1349,7
346,2019-12-13,Papua New Guinea,1059,4
347,2019-12-14,Papua New Guinea,1531,8
348,2019-12-15,Papua New Guinea,1058,5
349,2019-12-16,Papua New Guinea,1532,8
350,2019-12-17,Papua New Guinea,965,4
351,2019-12-18,Papua New Guinea,1298,7
352,2019-12-19,Papua New Guinea,1253,6
353,2019-12-20,Papua New Guinea,1210,5
354,2019-12-21,Papua New Guinea,1771,9
355,2019-12-22,Papua New Guinea,1030,5
356,2019-12-23,Papua New Guinea,1605,8
357,2019-12-24,Papua New Guinea,965,4
358,2019-12-25,Papua New Guinea,950,7
359,2019-12-26,Papua New Guinea,1051,6
360,2019-12-27,Papua New Guinea,1007,5
361,2019-12-28,Papua New Guinea,1619,9
362,2019-12-29,Papua New Guinea,869,4
363,2019-12-30,Papua New Guinea,1706,9
364,2019-12-31,Papua New Guinea,865,4
365,2020-01-01,Papua New Guinea,950,7
366,2020-01-02,Papua New Guinea,1223,6
367,2020-01-03,Papua New Guinea,1071,4
368,2020-01-04,Papua New Guinea,1619,9
369,2020-01-05,Papua New Guinea,942,4
370,2020-01-06,Papua New Guinea,1605,9
371,2020-01-07,Papua New Guinea,993,4
372,2020-01-08,Papua New Guinea,1268,7
