,Date,Country,Seats_arrivals_intl,Number_of_flights_intl
254,2019-09-12,Micronesia (Federated States of),332.0,2.0
255,2019-09-13,Micronesia (Federated States of),0.0,0.0
256,2019-09-14,Micronesia (Federated States of),531.0,3.0
257,2019-09-15,Micronesia (Federated States of),166.0,1.0
258,2019-09-16,Micronesia (Federated States of),0.0,0.0
259,2019-09-17,Micronesia (Federated States of),332.0,2.0
260,2019-09-18,Micronesia (Federated States of),0.0,0.0
261,2019-09-19,Micronesia (Federated States of),166.0,1.0
262,2019-09-20,Micronesia (Federated States of),0.0,0.0
263,2019-09-21,Micronesia (Federated States of),531.0,3.0
264,2019-09-22,Micronesia (Federated States of),166.0,1.0
265,2019-09-23,Micronesia (Federated States of),0.0,0.0
266,2019-09-24,Micronesia (Federated States of),332.0,2.0
267,2019-09-25,Micronesia (Federated States of),0.0,0.0
268,2019-09-26,Micronesia (Federated States of),166.0,1.0
269,2019-09-27,Micronesia (Federated States of),0.0,0.0
270,2019-09-28,Micronesia (Federated States of),531.0,3.0
271,2019-09-29,Micronesia (Federated States of),166.0,1.0
272,2019-09-30,Micronesia (Federated States of),166.0,1.0
273,2019-10-01,Micronesia (Federated States of),332.0,2.0
274,2019-10-02,Micronesia (Federated States of),0.0,0.0
275,2019-10-03,Micronesia (Federated States of),166.0,1.0
276,2019-10-04,Micronesia (Federated States of),0.0,0.0
277,2019-10-05,Micronesia (Federated States of),531.0,3.0
278,2019-10-06,Micronesia (Federated States of),166.0,1.0
279,2019-10-07,Micronesia (Federated States of),0.0,0.0
280,2019-10-08,Micronesia (Federated States of),332.0,2.0
281,2019-10-09,Micronesia (Federated States of),0.0,0.0
282,2019-10-10,Micronesia (Federated States of),166.0,1.0
283,2019-10-11,Micronesia (Federated States of),0.0,0.0
284,2019-10-12,Micronesia (Federated States of),531.0,3.0
285,2019-10-13,Micronesia (Federated States of),166.0,1.0
286,2019-10-14,Micronesia (Federated States of),166.0,1.0
287,2019-10-15,Micronesia (Federated States of),332.0,2.0
288,2019-10-16,Micronesia (Federated States of),0.0,0.0
289,2019-10-17,Micronesia (Federated States of),166.0,1.0
290,2019-10-18,Micronesia (Federated States of),0.0,0.0
291,2019-10-19,Micronesia (Federated States of),531.0,3.0
292,2019-10-20,Micronesia (Federated States of),166.0,1.0
293,2019-10-21,Micronesia (Federated States of),0.0,0.0
294,2019-10-22,Micronesia (Federated States of),332.0,2.0
295,2019-10-23,Micronesia (Federated States of),0.0,0.0
296,2019-10-24,Micronesia (Federated States of),166.0,1.0
297,2019-10-25,Micronesia (Federated States of),0.0,0.0
298,2019-10-26,Micronesia (Federated States of),365.0,3.0
299,2019-10-27,Micronesia (Federated States of),292.0,1.0
300,2019-10-28,Micronesia (Federated States of),0.0,0.0
301,2019-10-29,Micronesia (Federated States of),292.0,2.0
302,2019-10-30,Micronesia (Federated States of),0.0,0.0
303,2019-10-31,Micronesia (Federated States of),166.0,1.0
304,2019-11-01,Micronesia (Federated States of),0.0,0.0
305,2019-11-02,Micronesia (Federated States of),418.0,2.0
306,2019-11-03,Micronesia (Federated States of),166.0,1.0
307,2019-11-04,Micronesia (Federated States of),292.0,2.0
308,2019-11-05,Micronesia (Federated States of),292.0,2.0
309,2019-11-06,Micronesia (Federated States of),0.0,0.0
310,2019-11-07,Micronesia (Federated States of),126.0,1.0
311,2019-11-08,Micronesia (Federated States of),166.0,1.0
312,2019-11-09,Micronesia (Federated States of),491.0,3.0
313,2019-11-10,Micronesia (Federated States of),166.0,1.0
314,2019-11-11,Micronesia (Federated States of),0.0,0.0
