,Date,Country,Seats_arrivals_intl,Number_of_flights_intl
449,2020-03-25,Vanuatu,0.0,0.0
450,2020-03-26,Vanuatu,0.0,0.0
451,2020-03-27,Vanuatu,0.0,0.0
452,2020-03-28,Vanuatu,0.0,0.0
453,2020-03-29,Vanuatu,0.0,0.0
454,2020-03-30,Vanuatu,0.0,0.0
455,2020-03-31,Vanuatu,0.0,0.0
456,2020-04-01,Vanuatu,0.0,0.0
457,2020-04-02,Vanuatu,0.0,0.0
458,2020-04-03,Vanuatu,140.0,1.0
459,2020-04-04,Vanuatu,0.0,0.0
460,2020-04-05,Vanuatu,0.0,0.0
461,2020-04-06,Vanuatu,0.0,0.0
462,2020-04-07,Vanuatu,0.0,0.0
463,2020-04-08,Vanuatu,0.0,0.0
464,2020-04-09,Vanuatu,0.0,0.0
465,2020-04-10,Vanuatu,0.0,0.0
466,2020-04-11,Vanuatu,0.0,0.0
467,2020-04-12,Vanuatu,0.0,0.0
468,2020-04-13,Vanuatu,0.0,0.0
469,2020-04-14,Vanuatu,176.0,1.0
470,2020-04-15,Vanuatu,0.0,0.0
471,2020-04-16,Vanuatu,0.0,0.0
472,2020-04-17,Vanuatu,0.0,0.0
473,2020-04-18,Vanuatu,0.0,0.0
474,2020-04-19,Vanuatu,0.0,0.0
475,2020-04-20,Vanuatu,0.0,0.0
476,2020-04-21,Vanuatu,0.0,0.0
477,2020-04-22,Vanuatu,0.0,0.0
478,2020-04-23,Vanuatu,0.0,0.0
479,2020-04-24,Vanuatu,0.0,0.0
480,2020-04-25,Vanuatu,0.0,0.0
481,2020-04-26,Vanuatu,0.0,0.0
482,2020-04-27,Vanuatu,0.0,0.0
483,2020-04-28,Vanuatu,0.0,0.0
484,2020-04-29,Vanuatu,0.0,0.0
485,2020-04-30,Vanuatu,0.0,0.0
486,2020-05-01,Vanuatu,0.0,0.0
487,2020-05-02,Vanuatu,0.0,0.0
488,2020-05-03,Vanuatu,0.0,0.0
489,2020-05-04,Vanuatu,0.0,0.0
490,2020-05-05,Vanuatu,0.0,0.0
491,2020-05-06,Vanuatu,0.0,0.0
492,2020-05-07,Vanuatu,0.0,0.0
493,2020-05-08,Vanuatu,0.0,0.0
494,2020-05-09,Vanuatu,0.0,0.0
495,2020-05-10,Vanuatu,0.0,0.0
496,2020-05-11,Vanuatu,0.0,0.0
497,2020-05-12,Vanuatu,0.0,0.0
498,2020-05-13,Vanuatu,0.0,0.0
499,2020-05-14,Vanuatu,0.0,0.0
500,2020-05-15,Vanuatu,0.0,0.0
501,2020-05-16,Vanuatu,0.0,0.0
502,2020-05-17,Vanuatu,0.0,0.0
503,2020-05-18,Vanuatu,0.0,0.0
504,2020-05-19,Vanuatu,0.0,0.0
505,2020-05-20,Vanuatu,0.0,0.0
506,2020-05-21,Vanuatu,0.0,0.0
507,2020-05-22,Vanuatu,0.0,0.0
508,2020-05-23,Vanuatu,0.0,0.0
509,2020-05-24,Vanuatu,0.0,0.0
510,2020-05-25,Vanuatu,0.0,0.0
511,2020-05-26,Vanuatu,0.0,0.0
512,2020-05-27,Vanuatu,0.0,0.0
513,2020-05-28,Vanuatu,0.0,0.0
514,2020-05-29,Vanuatu,0.0,0.0
515,2020-05-30,Vanuatu,0.0,0.0
516,2020-05-31,Vanuatu,0.0,0.0
517,2020-06-01,Vanuatu,0.0,0.0
518,2020-06-02,Vanuatu,0.0,0.0
519,2020-06-03,Vanuatu,0.0,0.0
520,2020-06-04,Vanuatu,0.0,0.0
521,2020-06-05,Vanuatu,0.0,0.0
522,2020-06-06,Vanuatu,0.0,0.0
523,2020-06-07,Vanuatu,0.0,0.0
524,2020-06-08,Vanuatu,0.0,0.0
525,2020-06-09,Vanuatu,0.0,0.0
526,2020-06-10,Vanuatu,0.0,0.0
527,2020-06-11,Vanuatu,0.0,0.0
528,2020-06-12,Vanuatu,0.0,0.0
529,2020-06-13,Vanuatu,0.0,0.0
530,2020-06-14,Vanuatu,0.0,0.0
531,2020-06-15,Vanuatu,0.0,0.0
532,2020-06-16,Vanuatu,0.0,0.0
533,2020-06-17,Vanuatu,0.0,0.0
534,2020-06-18,Vanuatu,0.0,0.0
535,2020-06-19,Vanuatu,0.0,0.0
536,2020-06-20,Vanuatu,0.0,0.0
537,2020-06-21,Vanuatu,0.0,0.0
538,2020-06-22,Vanuatu,0.0,0.0
539,2020-06-23,Vanuatu,0.0,0.0
540,2020-06-24,Vanuatu,0.0,0.0
541,2020-06-25,Vanuatu,0.0,0.0
542,2020-06-26,Vanuatu,0.0,0.0
543,2020-06-27,Vanuatu,0.0,0.0
544,2020-06-28,Vanuatu,0.0,0.0
545,2020-06-29,Vanuatu,0.0,0.0
546,2020-06-30,Vanuatu,136.0,1.0
547,2020-07-01,Vanuatu,0.0,0.0
548,2020-07-02,Vanuatu,0.0,0.0
549,2020-07-03,Vanuatu,0.0,0.0
550,2020-07-04,Vanuatu,0.0,0.0
551,2020-07-05,Vanuatu,0.0,0.0
552,2020-07-06,Vanuatu,0.0,0.0
553,2020-07-07,Vanuatu,0.0,0.0
554,2020-07-08,Vanuatu,0.0,0.0
555,2020-07-09,Vanuatu,0.0,0.0
556,2020-07-10,Vanuatu,0.0,0.0
557,2020-07-11,Vanuatu,0.0,0.0
558,2020-07-12,Vanuatu,0.0,0.0
559,2020-07-13,Vanuatu,0.0,0.0
560,2020-07-14,Vanuatu,0.0,0.0
561,2020-07-15,Vanuatu,0.0,0.0
562,2020-07-16,Vanuatu,0.0,0.0
563,2020-07-17,Vanuatu,0.0,0.0
564,2020-07-18,Vanuatu,0.0,0.0
565,2020-07-19,Vanuatu,0.0,0.0
566,2020-07-20,Vanuatu,68.0,1.0
567,2020-07-21,Vanuatu,0.0,0.0
568,2020-07-22,Vanuatu,68.0,1.0
569,2020-07-23,Vanuatu,170.0,1.0
570,2020-07-24,Vanuatu,0.0,0.0
571,2020-07-25,Vanuatu,0.0,0.0
572,2020-07-26,Vanuatu,0.0,0.0
573,2020-07-27,Vanuatu,68.0,1.0
574,2020-07-28,Vanuatu,170.0,1.0
575,2020-07-29,Vanuatu,0.0,0.0
576,2020-07-30,Vanuatu,0.0,0.0
577,2020-07-31,Vanuatu,0.0,0.0
